doc_id,datetime,tweet,media,likes,retweets,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence
0,01.03.22 06:00,Just experienced the most incredible sunrise at El Capitan in Yosemite. Nature's majesty at its finest! #Yosemite #NatureLovers,https://images.unsplash.com/photo-1472396961693-142e6e269027?q=80&w=1552&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,2,0,NatureFanatic,NatureFanatic88,Lover of all things nature. Exploring one national park at a time.,https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,,A,1
1,22.03.22 06:00,Yosemite National Park's beauty is unmatched. From the towering sequoias to the pristine streams,,,,,,,,,,,,,
2,22.03.22 08:30,Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite,https://images.unsplash.com/photo-1470074558764-4e577e98bc85?q=80&w=1665&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10,3,0,TrailTrekker,TrailTrekkerLife,Adventure seeker on a mission to hike the globe's most scenic routes.,https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3721,0,,A,3
3,22.03.22 06:00,Encountered some of the most diverse wildlife at Yosemite. A truly enriching experience that everyone should have! #Wildlife #Yosemite,https://images.unsplash.com/photo-1517207183164-81b02358639f?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,13,2,0,EcoEnthusiast,EcoEnthusiast,Passionate about wildlife conservation and eco-friendly travels.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,9832,0,,A,4
4,24.03.22 06:00,The waterfalls in Yosemite are spectacular after the spring thaw. The mist and the roar are simply out of this world! #Nature #YosemiteFalls,https://images.unsplash.com/photo-1556595015-dda91ab57740?q=80&w=1803&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,0,0,NaturePhotog,CaptureTheWild,Photographer focusing on the untamed beauty of the outdoors.,https://images.unsplash.com/photo-1619365734050-cb5e64a42d43?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5470,0,,A,5
5,26.03.22 06:00,Disappointed with the overcrowding at Yosemite. Couldn't enjoy the views with the throngs of tourists. #Yosemite #Overcrowded,https://images.unsplash.com/photo-1517419455681-74fdb65819c4?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,18,3,0,PeaceSeeker,SeekingSerenity,On a journey to find the most tranquil spots on earth.,https://images.unsplash.com/photo-1521115507110-6a627e5ce14e?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2350,0,,B,1
6,27.03.22 06:00,Sadly,,,,,,,,,,,,,
7,27.03.22 06:05,Encountered too much litter during my hike at Yosemite. It's heartbreaking to see such negligence. #Environment #Yosemite,https://images.unsplash.com/photo-1625244514957-a8cdb2b7df0a?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4,0,2,GreenGuardian,GuardianOfGreen,Fighting for a cleaner,,,,,,
8,28.03.22 09:00,The park management needs to improve. Facilities at Yosemite were not up to the mark,,,,,,,,,,,,,
9,28.03.22 08:30,Yosemite's recent restrictions have dampened the adventure spirit. Miss the old days of unrestricted exploration. #Yosemite #Restrictions,https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,9,1,0,FreeRoamer,RoamTheWild,Eternal nomad chasing the thrill of discovery and the joy of the wild.,https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4675,0,,B,5
